date,excess,PR_flipped,tilt_0.10,tilt_0.25,tilt_0.50
2015-02-28,0.0491839581627908,-0.0860967911996526,0.04057427904282554,0.02765976036287765,0.006135562562964499
2015-03-31,0.0176609767816036,0.1279804616028908,0.03045902294189268,0.049656092182326306,0.081651207583049
2015-04-30,-0.0284483615710271,0.0175158038628609,-0.02669678118474101,-0.024069410605311873,-0.019690459639596647
2015-05-31,0.0940178108415277,0.0036852791038124,0.09438633875190894,0.0949391306174808,0.0958604503934339
2015-06-30,0.0107936703040039,0.0135099628470512,0.012144666588709021,0.0141711610157667,0.0175486517275295
2015-07-31,0.0369078808036202,-0.0376084353571509,0.03314703726790511,0.027505771964332477,0.01810366312504475
2015-08-31,-0.1059786924575144,-0.0288271921979687,-0.10886141167731127,-0.11318549050700658,-0.12039228855649875
2015-09-30,-0.113043928428108,-0.161758794505118,-0.1292198078786198,-0.1534836270543875,-0.193923325680667
2015-10-31,0.0729632350336511,-0.0255175674384963,0.07041147828980146,0.06658384317402702,0.06020445131440295
2015-11-30,0.0273764694204645,-0.0452178260351234,0.02285468681695216,0.01607201291168365,0.004767556402902801
2015-12-31,0.0117432069266158,-0.043595661380613,0.007383640788554501,0.0008442915814625505,-0.0100546237636907
2016-01-31,-0.2107073749892545,0.0821732716090604,-0.20249004782834845,-0.19016405708698939,-0.16962073918472428
2016-02-29,-0.0487299217186627,-0.0117821149736801,-0.049908133216030715,-0.051675450462082724,-0.054620979205502754
2016-03-31,0.0262471407853774,0.031593253831235,0.0294064661685009,0.03414545424318615,0.0420437677009949
2016-04-30,0.0278742550210317,0.0185286791891337,0.02972712293994507,0.03250642481831513,0.037138594615598555
2016-05-31,0.044012477338144396,0.0217868361334226,0.046191160951486655,0.04945918637150005,0.054905895404855694
2016-06-30,-0.08037309282659631,0.1191707895773906,-0.06845601386885725,-0.05058039543224866,-0.02078769803790101
2016-07-31,0.1252427183552986,-0.0470666145962516,0.12053605689567344,0.1134760647062357,0.1017094110571728
2016-08-31,-0.0297399709420831,-0.0198765503554954,-0.03172762597763264,-0.03470910853095695,-0.0396782461198308
2016-09-30,0.030309948132862502,-0.0302336193257417,0.027286586200288333,0.022751543301427077,0.015193138469991652
2016-10-31,-0.1131893867771469,0.0729688564950588,-0.10589250112764102,-0.0949471726533822,-0.0767049585296175
2016-11-30,0.06764994983727529,-0.1104629062419879,0.0566036592130765,0.040034223276778316,0.012418496716281341
2016-12-31,-0.0320073254294137,0.0756007499588017,-0.024447250433533532,-0.013107137939713277,0.005793049549987148
2017-01-31,0.047778111867018504,-0.046990199565681,0.0430790919104504,0.03603056197559826,0.024283012084178004
2017-02-28,0.06850377254754031,-0.002235755314291,0.06828019701611121,0.06794483371896756,0.06738589489039482
2017-03-31,-0.01362304556396,0.1440653614527332,0.0007834905813133182,0.022393294799223296,0.05840963516240659
2017-04-30,0.015451851185936599,-0.0534805297965686,0.010103798206279737,0.002081718736794448,-0.011288413712347702
2017-05-31,-0.040547536296216206,-0.1129173681775788,-0.051839273113974085,-0.06877687834061091,-0.09700622038500561
2017-06-30,0.0845441637865411,-0.0070028113414511,0.08384388265239599,0.08279346095117833,0.08104275811581556
2017-07-31,0.0289272658572585,-0.0107953180410894,0.02784773405314956,0.026228436346986152,0.0235296068367138
2017-08-31,0.0437894000787263,0.0937368474070547,0.05316308481943177,0.06722361193048998,0.09065782378225365
2017-09-30,-0.00017972894530259996,0.1391940374599778,0.01373967480069518,0.03461878041969185,0.0694172897846863
2017-10-31,-0.058746817282350795,0.2142233949615744,-0.037324477786193355,-0.0051909685419571985,0.0483648801984364
2017-11-30,0.0042287041966025994,0.0709425267924428,0.01132295687584688,0.021964335894713298,0.039699967592824
2017-12-31,0.0135100521233905,0.0639587875833812,0.01990593088172862,0.0294997490192358,0.0454894459150811
2018-01-31,0.0686182956472806,0.088644975623424,0.077482793209623,0.0907795395531366,0.1129407834589926
2018-02-28,-0.053694585276340495,0.0979021793790543,-0.043904367338435064,-0.02921904043157692,-0.004743495586813348
2018-03-31,-0.0135983747902742,-0.1004897988584527,-0.023647354676119472,-0.038720824504887376,-0.06384327421950055
2018-04-30,-0.030348785474893197,0.1594091651814116,-0.014407868956752036,0.009503505820459703,0.0493557971158126
2018-05-31,0.0449096812857835,0.1545578518252684,0.06036546646831034,0.08354914424210061,0.1221886071984177
2018-06-30,0.011232467807842799,0.0920954398644451,0.02044201179428731,0.03425632777395407,0.05728018774006535
2018-07-31,0.0606395578713619,-0.0415664256312967,0.05648291530823223,0.05024795146353773,0.03985634505571355
2018-08-31,0.0473312404888377,0.0663381668391198,0.053965057172749686,0.06391578219861765,0.0805003239083976
2018-09-30,-0.0035460018399104,0.0837198950609884,0.00482598766618844,0.0173839719253367,0.0383139456905838
2018-10-31,-0.14822034228435552,-0.01832309643933,-0.1500526519282885,-0.15280111639418803,-0.15738189050402052
2018-11-30,0.046532842256898896,0.0291903013455171,0.04945187239145061,0.05383041759327817,0.06112799292965745
2018-12-31,-0.1180318592369901,-0.0621154585225803,-0.12424340508924812,-0.13356072386763518,-0.14908958849828025
2019-01-31,0.1354089850987827,0.0311016503492804,0.13851915013371074,0.1431843976861028,0.15095981027342292
2019-02-28,0.0260055663508327,-0.0411644862422016,0.02188911772661254,0.0157144447902823,0.005423323229731901
2019-03-31,-0.0102377530905098,0.0129043045350832,-0.00894732263700148,-0.007011676956739,-0.0037856008229681997
2019-04-30,-0.049158646586594995,0.0736727363395483,-0.04179137295264017,-0.03074046250170792,-0.012322278416820848
2019-05-31,-0.06261477111236931,-0.0182449456452517,-0.06443926567689448,-0.06717600752368223,-0.07173724393499516
2019-06-30,0.0894179651105997,0.0661725422250727,0.09603521933310696,0.10596110066686787,0.12250423622313605
2019-07-31,-0.032678703617713,0.013559462568565,-0.031322757360856504,-0.029288837975571753,-0.0258989723334305
2019-08-31,-0.0274375417489487,-0.0333166788934162,-0.030769209638290322,-0.03576671147230275,-0.0440958811956568
2019-09-30,-0.035123814335610605,0.1180209300687807,-0.023321721328732534,-0.00561858181841543,0.023886650698779745
2019-10-31,0.0780267218325272,-0.0352199511816949,0.0745047267143577,0.06922173403710347,0.06041674624167974
2019-11-30,0.11348217383425889,-0.0740705609630835,0.10607511773795054,0.09496453359348801,0.07644689335271715
2019-12-31,0.0057877607153185,-0.0549585342171074,0.00029190729360775974,-0.00795187283895835,-0.0216915063932352
2020-01-31,-0.0559529806663381,0.1094145634353046,-0.04501152432280764,-0.02859933980751195,-0.0012456989486858
2020-02-29,-0.0005848852015170999,-0.1199430534397532,-0.01257919054549242,-0.0305706485614554,-0.0605564119213937
2020-03-31,-0.0551164583430255,-0.1087570087726676,-0.06599215922029225,-0.0823057105361924,-0.1094949627293593
2020-04-30,0.1515361461808897,-0.0136868760274372,0.15016745857814598,0.1481144271740304,0.1446927081671711
2020-05-31,0.0865130596424463,0.094734230346679,0.0959864826771142,0.11019661722911604,0.1338801748157858
2020-06-30,0.0143723599122926,0.0784827568722316,0.02222063559951576,0.0339930491303505,0.053613738348408393
2020-07-31,-0.016097154125519698,0.372114736392772,0.021114319513757505,0.0769315299726733,0.16996021407086628
2020-08-31,0.0090537952888358,0.1045916635959701,0.01951296164843281,0.035201711187828326,0.061349627086820846
2020-09-30,-0.0015010819574113,-0.0122162876254729,-0.00272271071995859,-0.004555153863779525,-0.00760922577014775
2020-10-31,-0.0350199307593365,0.0052476505002655,-0.03449516570930995,-0.03370801813427013,-0.03239610550920375
2020-11-30,0.10983744388173909,0.1202848686874664,0.12186593075048574,0.1399086610536057,0.16997987822547228
2020-12-31,0.0448026388993307,0.1034870956574006,0.05515134846507076,0.07067441281368085,0.096546186728031
2021-01-31,0.0608591173185637,0.0181128031315862,0.06267039763172232,0.06538731810146026,0.0699155188843568
2021-02-28,-0.0230951625825301,-0.0341614890140275,-0.026511311483932848,-0.031635534836036976,-0.04017590708954385
2021-03-31,-0.0405910703944887,-0.0035758391495177,-0.04094865430944047,-0.041485030181868124,-0.04237898996924755
2021-04-30,0.0280129113243809,-0.0225788062753707,0.025755030696843827,0.022368209755538222,0.01672350818669555
2021-05-31,-0.0173954943476867,-0.0317196843272985,-0.02056746278041655,-0.025325415429511326,-0.03325533651133595
2021-06-30,0.0769990836531557,-0.0400381375077199,0.07299526990238371,0.06698954927622573,0.05698001489929576
2021-07-31,0.0131608486225096,-0.0249407097637149,0.01066677764613811,0.006925671181580876,0.0006904937406521511
2021-08-31,0.0392085036404352,0.1236446821441826,0.05157297185485346,0.07011967417648085,0.10103084471252649
2021-09-30,-0.0615277205070415,-0.0825901681495854,-0.06978673732200004,-0.08217526254443785,-0.10282280458183421
2021-10-31,-0.0121605498959488,-0.0118477228824339,-0.013345322184192189,-0.015122480616557275,-0.01808441133716575
2021-11-30,-0.0337093661005202,-0.0887317383699022,-0.04258253993751042,-0.05589230069299575,-0.0780752352854713
2021-12-31,-0.0104746386146845,-0.1481750949671537,-0.02529214811139987,-0.047518412356472924,-0.08456218609826135
2022-01-31,-0.1357835360693586,-0.1373586370641679,-0.1495193997757754,-0.1701231953354006,-0.20446285460144256
2022-02-28,-0.0439100225242372,-0.1003445549497962,-0.05394447801921683,-0.06899616126168626,-0.09408229999913531
2022-03-31,0.033552648947984,-0.0577048452823044,0.02778216441975356,0.0191264376274079,0.004700226306831801
2022-04-30,-0.1039346332931347,-0.0892485213286798,-0.11285948542600267,-0.12624676362530465,-0.1485588939574746
2022-05-31,-0.00012843064305449996,0.0035942241847363,0.00023099177541913005,0.000770125403129575,0.00166868144931365
2022-06-30,0.007628361567544199,0.0231334834797463,0.009941709915518829,0.013411732437480775,0.01919510330741735
2022-07-31,0.054309734366538895,-0.0289635001516422,0.05141338435137467,0.047068859328628344,0.039827984290717794
2022-08-31,-0.0230154204553013,-0.1213459816427592,-0.03515001861957722,-0.0533519158659911,-0.08368841127668089
2022-09-30,-0.0389491382480662,-0.0046047374509985,-0.039409611993166054,-0.04010032261081582,-0.04125150697356545
2022-10-31,0.0986536706483784,0.1568720446626308,0.11434087511464149,0.1378716818140361,0.1770896929796938
2022-11-30,0.0588466064438019,-0.0446624671265583,0.05438035973114607,0.047680989662162325,0.03651537288052275
2022-12-31,-0.041680089076325,-0.1266174890543935,-0.05434183798176435,-0.07333446133992337,-0.10498883360352174
2023-01-31,0.0373485059551525,0.1776554547663136,0.05511405143178386,0.08176236964673089,0.1261762333383093
2023-02-28,-0.0720196845406805,-0.0633847969633527,-0.07835816423701578,-0.08786588378151867,-0.10371208302235685
2023-03-31,0.011968453062336699,-0.0014839894084063,0.011820054121496068,0.011597455710235124,0.011226458358133549
2023-04-30,0.007485138181882901,-0.061034292888755,0.0013817088930074004,-0.0077734350403058485,-0.0230320082624946
2023-05-31,-0.0360112415101177,0.1140879435215407,-0.024602447157963628,-0.007489255629732523,0.02103273025065265
2023-06-30,0.0013848442044817003,0.0763698780788538,0.00902183201236708,0.020477313724195152,0.0395697832439086
2023-07-31,0.014057083325127999,0.0095503226744044,0.015012115592568438,0.016444663993729097,0.0188322446623302
2023-08-31,-0.009139801603642,-0.0892763846780872,-0.01806744007145072,-0.031458897773163796,-0.0537779939426856
2023-09-30,-0.054179718438767996,-0.1318298037738683,-0.06736269881615482,-0.08713716938223506,-0.12009462032570214
2023-10-31,-0.07394168247847249,-0.141953192615192,-0.0881370017399917,-0.1094299806322705,-0.1449182787860685
2023-11-30,0.059375487963788595,0.0819452152193413,0.06757000948572273,0.07986179176862392,0.10034809557345925
2023-12-31,0.1190771596787456,0.0738622667003117,0.12646338634877677,0.13754272635382353,0.15600829302890146
2024-01-31,-0.0145971298866244,0.1236697757523352,-0.0022301523113908775,0.0163203140514594,0.0472377579895432
2024-02-29,0.014106198547873802,0.5298215171747177,0.06708835026534557,0.14656157784155321,0.27901695713523267
2024-03-31,-0.0015230988188885998,0.0205617338186048,0.0005330745629718802,0.0036173346357626004,0.0087577680904138
2024-04-30,-0.0789072680806466,0.0486019854938831,-0.0740470695312583,-0.06675677170717582,-0.05460627533370505
2024-05-31,0.050437850341620696,-0.0138285136604571,0.049054998975574984,0.04698072192650642,0.04352359351139215
2024-06-30,0.021146373208800202,-0.1581984721220108,0.005326525996599121,-0.018403244821702497,-0.057952862852205196
2024-07-31,0.07352714203251709,0.1478936291436307,0.08831650494688016,0.11050054931842476,0.14747395660433243
2024-08-31,-0.0034483991874226993,0.0221139421568955,-0.0012370049717331491,0.002080086351801176,0.007608571891025051
2024-09-30,-0.0213448344500214,-0.0058009883324616,-0.02192493328326756,-0.0227950815331368,-0.0242453286162522
2024-10-31,-0.0390397560361825,0.0309843228283815,-0.035941323753344356,-0.031293675329087126,-0.023547594621991755
2024-11-30,0.0049814067074895,-0.0452888324847468,0.0004525234590148199,-0.0063408014136972,-0.0176630095348839
2024-12-31,-0.0696835654051171,-0.0819841617986954,-0.07788198158498663,-0.09017960585479094,-0.1106756463044648
